X, Y, Z
-9.500000000000000000e+00,4,137.904876708984
-9.500000000000000000e+00,4.5,126.074729919434
-9.500000000000000000e+00,5,119.97932434082
-9.500000000000000000e+00,5.5,117.336814880371
-9.500000000000000000e+00,6,115.553428649902
-9.500000000000000000e+00,6.5,111.675468444824
-9.500000000000000000e+00,7,100.413627624512
-9.500000000000000000e+00,7.5,80.016242980957
-9.500000000000000000e+00,8,58.5802879333496
-9.500000000000000000e+00,8.5,37.3887367248535
-9.500000000000000000e+00,9,21.1080589294434
-9.500000000000000000e+00,9.5,12.5664596557617
-9.500000000000000000e+00,10,6.83695220947266
-9.500000000000000000e+00,-10,-101.29759979248
-9.000000000000000000e+00,-9.5,-99.6554718017578
-9.000000000000000000e+00,-9,-94.6186752319336
-9.000000000000000000e+00,-8.5,-79.7336578369141
-9.000000000000000000e+00,-8,-45.6568717956543
-9.000000000000000000e+00,-7.5,1.32126069068909
-9.000000000000000000e+00,-7,38.5386505126953
-9.000000000000000000e+00,-6.5,60.375358581543
-9.000000000000000000e+00,-6,70.9428253173828
-9.000000000000000000e+00,-5.5,76.2040634155273
-9.000000000000000000e+00,-5,81.2279968261719
-9.000000000000000000e+00,-4.5,88.2980651855469
-9.000000000000000000e+00,-4,97.0973434448242
-9.000000000000000000e+00,-3.5,107.317726135254
-9.000000000000000000e+00,-3,119.447563171387
-9.000000000000000000e+00,-2.5,131.805328369141
-9.000000000000000000e+00,-2,144.910522460938
-9.000000000000000000e+00,-1.5,157.500030517578
-9.000000000000000000e+00,-1,162.828765869141
-9.000000000000000000e+00,-0.5,164.260055541992
-9.000000000000000000e+00,0,164.715087890625
-9.000000000000000000e+00,0.5,164.921493530273
-9.000000000000000000e+00,1,165.019790649414
-9.000000000000000000e+00,1.5,164.969940185547
-9.000000000000000000e+00,2,164.425231933594
-9.000000000000000000e+00,2.5,161.936859130859
-9.000000000000000000e+00,3,154.118499755859
-9.000000000000000000e+00,3.5,141.396255493164
-9.000000000000000000e+00,4,127.491630554199
-9.000000000000000000e+00,4.5,115.045394897461
-9.000000000000000000e+00,5,108.450325012207
-9.000000000000000000e+00,5.5,105.659408569336
-9.000000000000000000e+00,6,103.656799316406
-9.000000000000000000e+00,6.5,99.095458984375
-9.000000000000000000e+00,7,86.28857421875
-9.000000000000000000e+00,7.5,65.0477905273438
-9.000000000000000000e+00,8,44.0725402832031
-9.000000000000000000e+00,8.5,23.1409568786621
-9.000000000000000000e+00,9,7.49366760253906
-9.000000000000000000e+00,9.5,-0.781996011734009
-9.000000000000000000e+00,10,-6.78199672698975
-9.000000000000000000e+00,-10,-114.577102661133
-8.500000000000000000e+00,-9.5,-112.93724822998
-8.500000000000000000e+00,-9,-108.011642456055
-8.500000000000000000e+00,-8.5,-93.5178680419922
-8.500000000000000000e+00,-8,-60.1926689147949
-8.500000000000000000e+00,-7.5,-13.2618026733398
-8.500000000000000000e+00,-7,25.2123928070068
-8.500000000000000000e+00,-6.5,47.6614303588867
-8.500000000000000000e+00,-6,58.0653190612793
-8.500000000000000000e+00,-5.5,63.2094650268555
-8.500000000000000000e+00,-5,68.2610015869141
-8.500000000000000000e+00,-4.5,75.4331359863281
-8.500000000000000000e+00,-4,84.4021606445312
-8.500000000000000000e+00,-3.5,94.9167556762695
-8.500000000000000000e+00,-3,107.236915588379
-8.500000000000000000e+00,-2.5,119.452514648438
-8.500000000000000000e+00,-2,132.434219360352
-8.500000000000000000e+00,-1.5,144.587295532227
-8.500000000000000000e+00,-1,149.49755859375
-8.500000000000000000e+00,-0.5,150.759902954102
-8.500000000000000000e+00,0,151.121520996094
